name,full_name,age,date_of_birth,place_of_birth,nationality,height_cm,foot,current_club,position,shirt_number,joined_club,contract_until,market_value,max_market_value,matches_played,goals,assists,minutes_played,yellow_cards,red_cards,error
Noah Nartey,Noah Teye Nartey,20,05/10/2005,Bagsværd,"Denmark, Ghana",180,right,Lyon,Midfield - Attacking Midfield,99,19/01/2026,30/06/2030,€8.00m,,,,,,,,
Malick Fofana,Malick Martin Fofana,20,31/03/2005,Aalst,"Belgium, Guinea",169,right,Lyon,Attack - Left Winger,11,10/01/2024,30/06/2028,€30.00m,,,,,,,,
Afonso Moreira,Afonso Bastardo Moreira,20,19/03/2005,Lamego,Portugal,176,right,Lyon,Attack - Left Winger,17,22/07/2025,30/06/2029,€5.00m,,,,,,,,
Rémi Himbert,Rémi Stéphane Himbert,17,29/02/2008,Saint-Avold,France,178,right,Olymp. Lyon B,Attack - Left Winger,,01/07/2025,-,€1.50m,,,,,,,,
Ernest Nuamah,Ernest Nuamah Appiah,22,01/11/2003,Kumasi,Ghana,178,left,Lyon,Attack - Right Winger,37,07/07/2024,30/06/2028,€12.00m,,52,6,3,,,,
Rachid Ghezzal,رشيد غزال,33,09/05/1992,Décines-Charpieu,"Algeria, France",182,left,Lyon,Attack - Right Winger,18,05/09/2025,30/06/2026,€700k,,,,,,,,
Endrick,,19,21/07/2006,Taguatinga,Brazil,173,left,Lyon,Attack - Centre-Forward,9,01/01/2026,30/06/2026,€25.00m,,,,,,,,
Roman Yaremchuk,Яремчук Роман Олегович,30,27/11/1995,Lviv,Ukraine,191,right,Lyon,Attack - Centre-Forward,77,02/02/2026,30/06/2026,€2.50m,,,,,,,,
Brice Samba,Brice Lauriche Samba,31,25/04/1994,Linzolo,"France, Congo",187,left,Stade Rennais,Goalkeeper,30,08/01/2025,30/06/2029,€10.00m,,,,,,,,
Mathys Silistrie,,20,16/09/2005,,"France, Guadeloupe",,,Stade Rennais,Goalkeeper,50,01/07/2025,30/06/2029,,,,,,,,,
Jérémy Jacquet,,20,13/07/2005,Bondy,"France, Guadeloupe",190,right,Stade Rennais,Defender - Centre-Back,97,01/01/2024,30/06/2029,€20.00m,,,,,,,,
Lilian Brassier,,26,02/11/1999,Argenteuil,"France, Togo",186,left,Stade Rennais,Defender - Centre-Back,3,01/07/2025,30/06/2029,€10.00m,,,,,,,,
Abdelhamid Ait Boudlal,عبد الحميد أيت بودلال,19,16/04/2006,Marrakech,Morocco,190,right,Stade Rennais,Defender - Centre-Back,48,02/07/2024,30/06/2028,€10.00m,,,,,,,,
Anthony Rouault,,24,29/05/2001,Villeneuve-sur-Lot,France,186,right,Stade Rennais,Defender - Centre-Back,24,03/02/2025,30/06/2029,€9.00m,,,,,,,,
Alidu Seidu,,25,04/06/2000,Accra,Ghana,173,right,Stade Rennais,Defender - Centre-Back,36,29/01/2024,30/06/2029,€6.00m,,,,,,,,
Quentin Merlin,,23,16/05/2002,Nantes,France,174,left,Stade Rennais,Defender - Left-Back,26,22/07/2025,30/06/2029,€12.00m,,,,,,,,
Mahamadou Nagida,Mahamadou Aboubakar Nagida,20,28/06/2005,Douala,Cameroon,176,left,Stade Rennais,Defender - Left-Back,18,01/07/2024,30/06/2029,€1.50m,,,,,,,,
Przemyslaw Frankowski,Przemysław Adam Frankowski,30,12/04/1995,Gdańsk,Poland,175,right,Stade Rennais,Defender - Right-Back,95,05/08/2025,30/06/2026,€7.00m,,,,,,,,
Djaoui Cissé,,22,31/01/2004,Juvisy-sur-Orge,"France, Mali",188,right,Stade Rennais,Midfield - Central Midfield,6,01/07/2024,30/06/2030,€15.00m,,,,,,,,
Mahdi Camara,,27,30/06/1998,Martigues,"France, The Gambia",176,right,Stade Rennais,Midfield - Central Midfield,45,13/08/2025,30/06/2029,€10.00m,,,,,,,,
Valentin Rongier,,31,07/12/1994,Mâcon,France,173,right,Stade Rennais,Midfield - Central Midfield,21,21/07/2025,30/06/2028,€9.00m,,,,,,,,
Glen Kamara,,30,28/10/1995,Tampere,"Finland, Sierra Leone",178,right,Stade Rennais,Midfield - Central Midfield,4,16/07/2024,30/06/2028,€2.50m,,,,,,,,
Ludovic Blas,,28,31/12/1997,Colombes,"France, Martinique",180,left,Stade Rennais,Midfield - Right Midfield,10,05/07/2023,30/06/2027,€15.00m,,,,,,,,
Sebastian Szymanski,Sebastian Szymański,26,10/05/1999,Biała Podlaska,Poland,174,left,Stade Rennais,Midfield - Attacking Midfield,17,22/01/2026,30/06/2029,€12.00m,,,,,,,,
Mousa Tamari,"Mousa Mohammad Mousa Sulaiman Tamari, موسى محمد موسى سليمان",28,10/06/1997,Amman,Jordan,178,left,Stade Rennais,Attack - Right Winger,11,03/02/2025,30/06/2028,€6.00m,,,,,,,,
Arnaud Nordin,,27,17/06/1998,Paris,"France, Martinique",170,both,Stade Rennais,Attack - Right Winger,70,02/02/2026,30/06/2026,€4.00m,,,,,,,,
Nordan Mukiele,,20,12/02/2006,Montreuil,"France, DR Congo",184,right,Stade Rennais,Attack - Right Winger,65,01/07/2025,30/06/2028,€200k,,,,,,,,
Elías Legendre Quiñónez,Elías Alexander Legendre Quiñónez,17,22/04/2008,La Concordia,"Ecuador, France",179,,Stade Rennais,Attack - Right Winger,75,03/12/2025,30/06/2029,€100k,,,,,,,,
Estéban Lepaul,,25,18/04/2000,Auxerre,France,181,right,Stade Rennais,Attack - Centre-Forward,9,28/08/2025,30/06/2029,€15.00m,,,,,,,,
Breel Embolo,Breel Donald Embolo,29,14/02/1997,Yaoundé,"Switzerland, Cameroon",187,right,Stade Rennais,Attack - Centre-Forward,7,01/09/2025,30/06/2029,€12.00m,,,,,,,,
Yassir Zabiri,يسير محمد زبيري,20,23/02/2005,Marrakech,Morocco,182,left,Stade Rennais,Attack - Centre-Forward,77,02/02/2026,30/06/2029,€4.00m,,,,,,,,
Yehvann Diouf,Yehvann Djibril Victor Diouf,26,16/11/1999,Montreuil-sous-Bois,"Senegal, France",188,right,Nice,Goalkeeper,80,03/07/2025,30/06/2030,€9.00m,,,,,,,,
Maxime Dupé,,32,04/03/1993,Malestroit,France,188,right,Nice,Goalkeeper,31,28/01/2024,30/06/2026,€800k,,,,,,,,
Bartosz Zelazowski,Bartosz Żelazowski,20,25/04/2005,Warszawa,Poland,193,right,Nice,Goalkeeper,30,01/07/2025,-,,,,,,,,,
Youssouf Ndayishimiye,,27,27/10/1998,Bujumbura,Burundi,183,right,Nice,Defender - Centre-Back,55,25/01/2023,30/06/2027,€8.00m,,85,8,6,,,,
Moïse Bombito,Moïse Bombito Lumpungu,25,30/03/2000,"Montreal, Quebec","Canada, DR Congo",190,right,Nice,Defender - Centre-Back,64,19/08/2024,30/06/2028,€8.00m,,,,,,,,
Juma Bah,Abdulai Juma Bah,19,11/04/2006,Freetown,Sierra Leone,195,right,Nice,Defender - Centre-Back,28,01/07/2025,30/06/2026,€7.00m,,,,,,,,
Antoine Mendy,Antoine Alpha Mendy,21,27/05/2004,Marseille,"Senegal, France",187,right,Nice,Defender - Centre-Back,33,01/07/2022,30/06/2028,€4.00m,,,,,,,,
Kojo Peprah Oppong,,21,04/06/2004,Accra,Ghana,185,right,Nice,Defender - Centre-Back,37,25/07/2025,30/06/2029,€4.00m,,,,,,,,
Mohamed Abdelmonem,محمد عبد المنعم,27,01/02/1999,Zagazig,Egypt,183,right,Nice,Defender - Centre-Back,5,29/08/2024,30/06/2028,€3.00m,,98,3,,,,,
Dante,,42,18/10/1983,Salvador da Bahia,Brazil,188,left,Nice,Defender - Centre-Back,4,23/08/2016,30/06/2026,€500k,,,,,,,,
Melvin Bard,Melvin Michel Maxence Bard,25,06/11/2000,Écully,France,173,left,Nice,Defender - Left-Back,26,16/07/2021,30/06/2028,€10.00m,,,,,,,,
Ali Abdi,علي العابدي,32,20/12/1993,Sfax,Tunisia,183,left,Nice,Defender - Left-Back,2,02/09/2024,30/06/2027,€2.50m,,,,,,,,
Jonathan Clauss,,33,25/09/1992,Strasbourg,France,178,right,Nice,Defender - Right-Back,92,25/07/2024,30/06/2028,€4.50m,,,,,,,,
Charles Vanhoutte,,27,16/09/1998,Kortrijk,Belgium,182,right,Nice,Midfield - Defensive Midfield,24,01/09/2025,30/06/2029,€7.00m,,,,,,,,
Salis Abdul Samed,,25,26/03/2000,Accra,"Ghana, Cote d'Ivoire",179,right,Nice,Midfield - Defensive Midfield,99,14/08/2025,30/06/2028,€4.50m,,,,,,,,
Hicham Boudaoui,هشام بوداوي,26,23/09/1999,Béchar,Algeria,175,right,Nice,Midfield - Central Midfield,6,02/09/2019,30/06/2027,€12.00m,,,,,,,,
Morgan Sanson,,31,18/08/1994,Saint-Doulchard,France,180,right,Nice,Midfield - Central Midfield,8,01/07/2024,30/06/2027,€4.00m,,,,,,,,
Tanguy Ndombélé,Tanguy Ndombélé Alvaro,29,28/12/1996,Longjumeau,"France, DR Congo",181,right,Nice,Midfield - Central Midfield,22,04/07/2024,30/06/2026,€3.00m,,,,,,,,
Djibril Coulibaly,,17,18/11/2008,Pontoise,"France, Mali",178,right,Nice,Midfield - Central Midfield,39,01/07/2025,30/06/2028,€500k,,,,,,,,
Tom Louchet,Tom Alexis Louchet,22,04/05/2003,Manosque,France,178,both,Nice,Midfield - Right Midfield,20,01/07/2023,30/06/2027,€5.00m,,,,,,,,
Gabin Bernardeau,,20,24/01/2006,Le Mans,France,181,left,Nice,Midfield - Attacking Midfield,23,01/07/2025,30/06/2028,€500k,,,,,,,,
Sofiane Diop,سفيان داودا ديوب,25,09/06/2000,Tours,"Morocco, France",175,right,Nice,Attack - Left Winger,10,29/08/2022,30/06/2027,€10.00m,,,,,,,,
Isak Jansson,,24,31/01/2002,Kinna,Sweden,175,right,Nice,Attack - Left Winger,21,10/07/2025,-,€5.00m,,,,,,,,
Mohamed-Ali Cho,,22,19/01/2004,Stains,"France, England",182,left,Nice,Attack - Right Winger,25,08/01/2024,30/06/2028,€12.00m,,,,,,,,
Tiago Gouveia,Tiago Maria Antunes Gouveia,24,18/06/2001,Cascais,Portugal,176,right,Nice,Attack - Right Winger,47,31/08/2025,30/06/2026,€4.00m,,,,,,,,
Elye Wahi,Sepe Elye Delmas Wahi,23,02/01/2003,Courcouronnes,"France, Cote d'Ivoire",184,right,Nice,Attack - Centre-Forward,11,01/01/2026,30/06/2026,€12.00m,,,,,,,,
Kevin Carlos,,24,10/04/2001,Ceuta,"Spain, Nigeria",186,right,Nice,Attack - Centre-Forward,90,18/08/2025,30/06/2030,€6.00m,,,,,,,,
Obed Nkambadio,,23,07/02/2003,Paris,"France, DR Congo",190,right,Paris FC,Goalkeeper,16,01/07/2023,30/06/2027,€6.00m,,,,,,,,
Kevin Trapp,Kevin Christian Trapp,35,08/07/1990,Merzig,Germany,189,right,Paris FC,Goalkeeper,35,19/08/2025,30/06/2028,€2.00m,,,,,,,,
Rémy Riou,,38,06/08/1987,Lyon,France,191,right,Paris FC,Goalkeeper,1,09/01/2024,30/06/2026,€100k,,,,,,,,
Otávio,,23,21/04/2002,São Paulo,Brazil,188,left,Paris FC,Defender - Centre-Back,6,23/07/2025,30/06/2030,€10.00m,,,,,,,,
Diego Coppola,,22,28/12/2003,Bussolengo,"Italy, Netherlands",193,right,Paris FC,Defender - Centre-Back,42,29/01/2026,30/06/2026,€10.00m,,,,,,,,
Moustapha Mbow,Mamadou Moustapha Mbow,25,08/03/2000,Dakar,Senegal,192,right,Paris FC,Defender - Centre-Back,5,20/07/2023,30/06/2028,€5.00m,,,,,,,,
Samir Chergui,"Samir Sophian Chergui , سمير سفيان شرقي",27,06/02/1999,Arpajon,"Algeria, France",185,right,Paris FC,Defender - Centre-Back,31,01/01/2021,-,€3.00m,,,,,,,,
Timothée Kolodziejczak,Timothée Christian Kolodziejczak,34,01/10/1991,Avion,"France, Poland",183,left,Paris FC,Defender - Centre-Back,15,06/09/2023,30/06/2026,€200k,,,,,,,,
Nhoa Sangui,Nhoa Ryan Sangui,19,27/02/2006,Creil,"France, Congo",178,left,Paris FC,Defender - Left-Back,19,01/07/2025,30/06/2030,€5.00m,,,,,,,,
Thibault De Smet,,27,05/06/1998,Brugge,Belgium,183,left,Paris FC,Defender - Left-Back,28,01/07/2025,30/06/2027,€2.00m,,,,,,,,
Tuomas Ollila,,25,25/04/2000,Helsinki,Finland,174,left,Paris FC,Defender - Left-Back,2,29/01/2024,30/06/2027,€500k,,,,,,,,
Hamari Traoré,,34,27/01/1992,Bamako,Mali,175,right,Paris FC,Defender - Right-Back,14,01/09/2025,30/06/2027,€1.80m,,,,,,,,
Sofiane Alakouch,سفيان علكوش,27,29/07/1998,Nîmes,"Morocco, France",175,right,Paris FC,Defender - Right-Back,22,01/07/2024,30/06/2026,€200k,,69,1,5,,,,
Maxime Lopez,Maxime Baila Lopez,28,04/12/1997,Marseille,"France, Algeria",167,right,Paris FC,Midfield - Defensive Midfield,21,29/08/2024,30/06/2027,€6.00m,,,,,,,,
Pierre Lees-Melou,,32,25/05/1993,Langon,France,185,right,Paris FC,Midfield - Defensive Midfield,33,28/08/2025,30/06/2027,€5.00m,,,,,,,,
Adama Camara,,29,18/10/1996,Bondy,"France, Mali",180,right,Paris FC,Midfield - Defensive Midfield,17,01/07/2023,30/06/2027,€2.50m,,,,,,,,
Marshall Munetsi,Marshall Nyasha Munetsi,29,22/06/1996,Harare,Zimbabwe,188,right,Paris FC,Midfield - Central Midfield,18,16/01/2026,30/06/2026,€12.00m,,,,,,,,
Rudy Matondo,Rudy Nzingoula Matondo,17,13/03/2008,Évry-Courcouronnes,"France, Congo",180,right,Paris FC,Midfield - Central Midfield,23,02/02/2026,-,€3.00m,,,,,,,,
Vincent Marchetti,,28,04/07/1997,Ajaccio,France,178,left,Paris FC,Midfield - Central Midfield,4,29/01/2024,30/06/2026,€2.00m,,,,,,,,
Moses Simon,Moses Daddy-Ajala Simon,30,12/07/1995,Jos,Nigeria,168,right,Paris FC,Attack - Left Winger,27,01/07/2025,30/06/2028,€7.00m,,,,,,,,
Alimami Gory,,29,30/08/1996,Le Havre,"France, Mali",182,right,Paris FC,Attack - Left Winger,7,09/07/2022,30/06/2026,€1.20m,,,,,,,,
Julien Lopez,Julien Yves Rémi Lopez Baila,33,01/03/1992,Marseille,"Algeria, France",173,right,Paris FC,Attack - Left Winger,20,01/07/2017,30/06/2026,€200k,,,,,,,,
Ilan Kebbal,Ilan Kais Kebbal,27,10/07/1998,Marseille,"Algeria, France",169,left,Paris FC,Attack - Right Winger,10,10/07/2023,30/06/2028,€12.00m,,,,,,,,
Jonathan Ikoné,Nanitamo Jonathan Ikoné,27,02/05/1998,Bondy,"France, DR Congo",175,left,Paris FC,Attack - Right Winger,93,01/09/2025,30/06/2027,€5.00m,,,,,,,,
Luca Koleosho,Luca Warrick Daeovie Koleosho,21,15/09/2004,"Norwalk, Connecticut","Italy, United States",175,right,Paris FC,Attack - Right Winger,24,09/01/2026,30/06/2026,€4.00m,,,,,,,,
Mathieu Cafaro,,28,25/03/1997,Saint-Doulchard,France,175,right,Paris FC,Attack - Right Winger,13,03/02/2025,30/06/2027,€2.00m,,,,,,,,
Lamine Gueye,Mamadou Lamine Gueye,27,13/03/1998,M'bour,Senegal,178,right,Paris FC,Attack - Right Winger,26,05/07/2023,30/06/2026,€250k,,,,,,,,
Willem Geubbels,Willem Davnis Louis Didier Geubbels,24,16/08/2001,Villeurbanne,"France, Netherlands",186,right,Paris FC,Attack - Centre-Forward,9,17/08/2025,30/06/2030,€7.00m,,,,,,,,
Jean-Philippe Krasso,,28,17/07/1997,Stuttgart,"Cote d'Ivoire, France",187,left,Paris FC,Attack - Centre-Forward,11,06/07/2024,30/06/2027,€4.00m,,,,,,,,
Ciro Immobile,,35,20/02/1990,Torre Annunziata,Italy,185,right,Paris FC,Attack - Centre-Forward,36,01/02/2026,30/06/2027,€2.00m,,,,,,,,
Pierre-Yves Hamel,,32,03/02/1994,Brest,France,189,right,Paris FC,Attack - Centre-Forward,29,01/07/2022,30/06/2026,€400k,,,,,,,,
Robin Risser,Robin Risser Birckel,21,02/12/2004,Colmar,France,193,right,Lens,Goalkeeper,40,04/07/2025,30/06/2030,€10.00m,,,,,,,,
Mathieu Gorgelin,,35,05/08/1990,Ambérieu-en-Bugey,France,187,left,Lens,Goalkeeper,16,19/01/2026,30/06/2026,€250k,,,,,,,,
Régis Gurtner,,39,08/12/1986,Saverne,France,182,right,Lens,Goalkeeper,1,07/07/2025,30/06/2026,€100k,,,,,,,,
Ilan Jourdren,Ilan Bertrand Jean-Charles Jourdren,17,17/07/2008,Montpellier,France,188,,Lens,Goalkeeper,60,01/07/2025,30/06/2029,,,,,,,,,
Samson Baidoo,,21,31/03/2004,Graz,"Austria, Ghana",190,right,Lens,Defender - Centre-Back,6,17/07/2025,30/06/2030,€12.00m,,,,,,,,
Malang Sarr,Malang Mamadou William Sarr,27,23/01/1999,Nice,"France, Senegal",183,left,Lens,Defender - Centre-Back,20,26/07/2024,30/06/2026,€10.00m,,,,,,,,
Jonathan Gradit,,33,24/11/1992,Talence,France,180,right,Lens,Defender - Centre-Back,24,20/08/2019,30/06/2028,€3.00m,,,,,,,,
Ismaëlo Ganiou,Pierre-Ismaëlo Ganiou,20,14/03/2005,Lille,"Burkina Faso, France",182,right,Lens,Defender - Centre-Back,25,01/07/2025,30/06/2027,€3.00m,,,,,,,,
Nidal Celik,Nidal Čelik,19,17/07/2006,Sarajevo,Bosnia-Herzegovina,192,right,Lens,Defender - Centre-Back,4,03/02/2025,30/06/2029,€1.00m,,,,,,,,
Kyllian Antonio,Kyllian Anderson Antonio,18,04/01/2008,Champigny-sur-Marne,France,183,right,Lens,Defender - Centre-Back,32,01/07/2025,-,€250k,,,,,,,,
Matthieu Udol,,29,20/03/1996,Metz,"France, Guadeloupe",178,left,Lens,Defender - Left-Back,14,15/07/2025,30/06/2028,€5.00m,,,,,,,,
Arthur Masuaku,Fuka-Arthur Masuaku Kawela,32,07/11/1993,Lille,"DR Congo, France",179,left,Lens,Defender - Left-Back,27,27/01/2026,30/06/2026,€2.50m,,,,,,,,
Ruben Aguilar,,32,26/04/1993,Grenoble,"France, Spain",172,right,Lens,Defender - Right-Back,2,01/09/2023,30/06/2028,€3.00m,,,,,,,,
Saud Abdulhamid,سعود عبدالحميد,26,18/07/1999,Jeddah,Saudi Arabia,175,right,Lens,Defender - Right-Back,23,03/08/2025,30/06/2026,€3.00m,,,,,,,,
Fodé Sylla,Fodé Sanassy Sylla,19,16/04/2006,Saint-Quentin,"France, Guinea",182,right,Lens,Midfield - Defensive Midfield,18,01/07/2025,30/06/2028,€1.00m,,,,,,,,
Mamadou Sangaré,,23,26/06/2002,Bamako,Mali,181,left,Lens,Midfield - Central Midfield,8,20/08/2025,30/06/2030,€15.00m,,,,,,,,
Amadou Haidara,,28,31/01/1998,Bamako,Mali,178,right,Lens,Midfield - Central Midfield,21,01/01/2026,30/06/2029,€6.00m,,,,,,,,
Adrien Thomasson,,32,10/12/1993,Bourg-Saint-Maurice,"France, Croatia",175,right,Lens,Midfield - Central Midfield,28,12/01/2023,30/06/2026,€4.50m,,,,,,,,
Andrija Bulatovic,Андрија Булатовић,19,27/12/2006,Kolašin,Montenegro,180,right,Lens,Midfield - Central Midfield,5,03/02/2025,30/06/2028,€1.80m,,,,,,,,
Alpha Diallo,,19,25/02/2006,Paris,"France, Guinea",179,right,Lens,Midfield - Attacking Midfield,31,01/07/2025,30/06/2027,,,19,3,503,,,,
Allan Saint-Maximin,Allan Irénée Saint-Maximin,28,12/03/1997,Châtenay-Malabry,"France, Guadeloupe",173,right,Lens,Attack - Left Winger,9,02/02/2026,30/06/2026,€10.00m,,,,,,,,
Abdallah Sima,Abdallah Dipo Sima,24,17/06/2001,Dakar,Senegal,188,right,Lens,Attack - Left Winger,19,29/08/2025,30/06/2029,€4.00m,,,,,,,,
Anthony Bermont,,21,10/02/2005,Beauvais,France,187,right,Lens,Attack - Left Winger,26,01/07/2024,30/06/2029,€1.00m,,,,,,,,
Florian Thauvin,Florian Tristan Mariano Thauvin,33,26/01/1993,Orléans,France,181,left,Lens,Attack - Right Winger,10,08/08/2025,30/06/2028,€5.00m,,,,,,,,
Odsonne Édouard,Odsonne Édouard,28,16/01/1998,Kourou,"France, Haiti",187,right,Lens,Attack - Centre-Forward,11,01/09/2025,30/06/2028,€8.00m,,,,,,,,
Rayan Fofana,,20,12/02/2006,Paris,"France, Cote d'Ivoire",180,right,Lens,Attack - Centre-Forward,38,01/07/2025,30/06/2029,€5.00m,,,,,,,,
Wesley Saïd,,30,19/04/1995,Noisy-le-Grand,"France, Comoros",171,right,Lens,Attack - Centre-Forward,22,01/07/2021,30/06/2026,€4.00m,,,,,,,,
Florian Sotoca,,35,25/10/1990,Narbonne,France,187,right,Lens,Attack - Centre-Forward,7,01/07/2019,30/06/2026,€1.50m,,,,,,,,
Guillaume Restes,Guillaume Lino Restes,20,11/03/2005,Toulouse,"France, Cote d'Ivoire",188,left,Toulouse,Goalkeeper,1,01/07/2023,30/06/2028,€20.00m,,,,,,,,
Kjetil Haug,Christian Kjetil Haug,27,12/06/1998,Fredrikstad,Norway,191,right,Toulouse,Goalkeeper,16,01/07/2022,30/06/2026,€500k,,,,,,,,
Álex Domínguez,Álex Domínguez Romero,27,30/07/1998,Granollers,Spain,187,left,Toulouse,Goalkeeper,30,26/07/2023,30/06/2027,€250k,,,,,,,,
Charlie Cresswell,Charlie Richard Cresswell,23,17/08/2002,Preston,England,190,right,Toulouse,Defender - Centre-Back,4,08/07/2024,30/06/2028,€15.00m,,,,,,,,
Mark McKenzie,Mark Alexander McKenzie,26,25/02/1999,"New York City, New York","United States, Jamaica",184,right,Toulouse,Defender - Centre-Back,3,16/08/2024,30/06/2027,€6.00m,,,,,,,,
Rasmus Nicolaisen,Rasmus Schmidt Nicolaisen,28,16/03/1997,Herning,Denmark,191,left,Toulouse,Defender - Centre-Back,2,17/08/2021,30/06/2027,€5.00m,,,,,,,,
Seny Koumbassa,,18,20/06/2007,Toulouse,"France, Guinea",194,right,Toulouse,Defender - Centre-Back,35,01/07/2025,30/06/2028,€100k,,,,,,,,
Dayann Methalie,,20,15/02/2006,Toulouse,"France, Martinique",188,left,Toulouse,Defender - Left-Back,24,01/07/2025,30/06/2030,€8.00m,,,,,,,,
Warren Kamanzi,Warren Håkon Christofer Kamanzi,25,11/11/2000,Namsos,Norway,177,right,Toulouse,Defender - Right-Back,12,02/01/2023,30/06/2026,€1.50m,,,,,,,,
Djibril Sidibé,,33,29/07/1992,Troyes,"France, Mali",183,right,Toulouse,Defender - Right-Back,19,02/08/2024,30/06/2026,€1.00m,,,,,,,,
Cristian Cásseres Jr.,Cristian Sleiker Cásseres Yépes,26,20/01/2000,Caracas,Venezuela,176,right,Toulouse,Midfield - Central Midfield,23,07/07/2023,30/06/2027,€7.00m,,,,,,,,
Pape Demba Diop,,22,04/09/2003,Ouakam,Senegal,182,right,Toulouse,Midfield - Central Midfield,18,07/01/2026,30/06/2026,€4.00m,,,,,,,,
Alexis Vossah,,17,11/03/2008,Alfortville,"France, Togo",181,both,Toulouse,Midfield - Central Midfield,45,01/07/2025,30/06/2028,€3.00m,,,,,,,,
Abu Francis,,24,27/04/2001,Accra,Ghana,182,right,Toulouse,Midfield - Central Midfield,17,06/08/2025,30/06/2029,€2.00m,,,,,,,,
Mario Sauer,Mário Sauer,21,15/05/2004,Bratislava,Slovakia,180,right,Toulouse,Midfield - Central Midfield,77,01/07/2025,-,€1.80m,,,,,,,,
Aron Dønnum,Aron Leonard Bizet Dønnum,27,20/04/1998,Eidsvoll,Norway,178,left,Toulouse,Midfield - Right Midfield,15,01/09/2023,30/06/2027,€5.00m,,,,,,,,
Rafik Messali,,22,28/04/2003,Toulouse,"Algeria, France",177,right,Toulouse,Midfield - Right Midfield,22,01/07/2024,30/06/2028,€800k,,,,,,,,
Yann Gboho,Yann-Alexandre Gboho Gnantin,25,14/01/2001,Man,"France, Cote d'Ivoire",178,right,Toulouse,Attack - Left Winger,10,08/01/2024,30/06/2027,€12.00m,,,,,,,,
Frank Magri,Frank Mario Magri,26,04/09/1999,Agen,"Cameroon, France",178,right,Toulouse,Attack - Centre-Forward,9,21/07/2023,30/06/2026,€4.00m,,,,,,,,
Emersonn,,21,16/07/2004,Cachoeiro de Itapemirim,Brazil,193,right,Toulouse,Attack - Centre-Forward,20,01/09/2025,-,€4.00m,,,,,,,,
Jacen Russell-Rowe,Jacen Rex Orlando Russell-Rowe,23,13/09/2002,"Toronto, Ontario","Canada, Jamaica",183,right,Toulouse,Attack - Centre-Forward,13,02/02/2026,30/06/2029,€3.50m,,,,,,,,
Santiago Hidalgo,Santiago Hidalgo Massa,20,17/02/2005,Santiago del Estero,"Argentina, Italy",174,left,Toulouse,Attack - Centre-Forward,11,31/07/2025,30/06/2029,€2.00m,,,,,,,,
Julián Vignolo,Julián Ariel Vignolo,19,07/12/2006,Arroyito,Argentina,185,right,Toulouse,Attack - Centre-Forward,7,20/08/2025,30/06/2029,€1.00m,,,,,,,,
Said Hamulic,Said Hamulić,25,12/11/2000,Leiderdorp,"Bosnia-Herzegovina, Netherlands",186,right,Toulouse,Attack - Centre-Forward,,24/01/2023,30/06/2027,€500k,,,,,,,,
Enzo Faty,,18,09/03/2007,Toulouse,"France, Senegal",189,right,Toulouse,Attack - Centre-Forward,21,01/07/2025,-,,,,,,,,,
Anthony Lopes,,35,01/10/1990,Givors,"Portugal, France",184,left,FC Nantes,Goalkeeper,1,01/01/2025,30/06/2026,€1.00m,,,,,,,,
Patrik Carlgren,Patrik Ulf Anders Carlgren,34,08/01/1992,Falun,Sweden,189,right,FC Nantes,Goalkeeper,30,30/08/2024,30/06/2026,€500k,,,,,,,,
Alexis Mirbach,,20,04/03/2005,Metz,France,192,right,FC Nantes,Goalkeeper,50,01/07/2025,30/06/2028,€50k,,,,,,,,
Tylel Tati,,18,19/01/2008,Champigny-sur-Marne,"France, Senegal",192,left,FC Nantes,Defender - Centre-Back,78,01/08/2025,30/06/2028,€12.00m,,,,,,,,
Abakar Sylla,Abakar Loubadhe Sylla,23,25/12/2002,Daloa,Cote d'Ivoire,188,left,FC Nantes,Defender - Centre-Back,4,02/02/2026,30/06/2026,€3.00m,,,,,,,,
Chidozie Awaziem,Chidozie Collins Awaziem,29,01/01/1997,Enugu,"Nigeria, Portugal",189,right,FC Nantes,Defender - Centre-Back,6,23/07/2025,30/06/2028,€3.00m,,,,,,,,
Ali Youssif,علي يوسف,24,09/07/2001,Benghazi,Libya,188,right,FC Nantes,Defender - Centre-Back,2,19/01/2026,30/06/2028,€800k,,,,,,,,
Uros Radakovic,Урош Радаковић,31,31/03/1994,Belgrade,Serbia,194,right,FC Nantes,Defender - Centre-Back,26,01/07/2025,30/06/2027,€500k,,,,,,,,
Sékou Doucouré,,20,26/04/2005,Créteil,"Mali, France",187,right,FC Nantes,Defender - Centre-Back,72,01/07/2025,30/06/2027,€50k,,,,,,,,
Nicolas Cozza,Nicolas Louis Marcel Cozza,27,08/01/1999,Ganges,"France, Italy",178,left,FC Nantes,Defender - Left-Back,3,28/08/2024,30/06/2026,€3.00m,,,,,,,,
Deiver Machado,Deiver Andrés Machado Mena,32,02/09/1993,Tadó,Colombia,180,left,FC Nantes,Defender - Left-Back,27,08/12/2025,30/06/2028,€2.50m,,,,,,,,
Kelvin Amian,Kelvin Amian Adou,28,08/02/1998,Toulouse,"France, Cote d'Ivoire",180,right,FC Nantes,Defender - Right-Back,98,25/01/2024,30/06/2028,€2.50m,,,,,,,,
Fabien Centonze,,30,16/01/1996,Voiron,France,182,right,FC Nantes,Defender - Right-Back,18,22/09/2022,30/06/2027,€1.20m,,,,,,,,
